Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Opponent,6,none,Forehand,Topspin,41.794987,197,0,0,service_box,ad,far,0.554499,14.029481,no_mans_land,deuce,near,0.502225,1.775863,0.808964,down the line,In,false,20:20:25,
Pash Sunuwar,7,none,BH Volley,Flat,20.784662,197,0,0,no_mans_land,deuce,near,0.355252,1.403772,service_box,ad,far,0.554499,15.238269,1.542494,down the line,In,false,20:20:26,
Opponent,8,none,Forehand,Flat,29.333708,197,0,0,service_box,deuce_alley,far,-4.464789,17.152088,no_mans_land,deuce,near,0.15739,0.750249,0.770145,down the line,Out,false,20:20:27,
Pash Sunuwar,1,first_serve,Serve,Slice,46.005508,198,0,0,service_box,deuce,near,0.057218,7.168259,no_mans_land,deuce,far,-0.854614,24.082928,2.501275,down the T,In,false,20:20:51,
Opponent,2,return,Backhand,Flat,39.451801,198,0,0,service_box,deuce,far,-1.21117,18.077669,no_mans_land,deuce,near,0.207595,-0.283771,0.522217,inside out,In,false,20:20:53,
Pash Sunuwar,3,serve_plus_one,Forehand,Flat,58.859013,198,0,0,no_mans_land,deuce,near,1.346585,1.760166,out,deuce,far,-1.299035,25.744566,0.865545,cross court,In,false,20:20:55,
Opponent,4,return_plus_one,Forehand,Topspin,32.619499,198,0,0,service_box,deuce,far,-2.160156,17.152088,out,deuce,near,1.425311,-1.094491,1.20478,cross court,In,false,20:20:56,
Pash Sunuwar,5,in_play,Forehand,Flat,34.197098,198,0,0,service_box,ad,near,-1.270591,9.24145,no_mans_land,deuce,far,-3.334167,24.618292,0.827928,down the line,In,false,20:20:59,
Opponent,6,in_play,Forehand,Topspin,64.119812,198,0,0,service_box,deuce,far,-0.464471,15.90062,service_box,ad,near,-1.019379,7.690208,2.20588,---,In,false,20:21:02,
Pash Sunuwar,1,first_serve,Serve,Slice,47.950047,199,0,0,service_box,ad,near,-0.40312,7.383234,no_mans_land,ad,far,1.45015,22.835758,2.328531,down the T,In,false,20:21:25,
Opponent,2,return,Forehand,Topspin,48.827984,199,0,0,no_mans_land,deuce,far,-0.665628,22.935907,no_mans_land,ad,near,-0.665628,0.17691,0.791076,inside in,In,false,20:21:27,
Pash Sunuwar,3,serve_plus_one,Forehand,Flat,44.080681,199,0,0,no_mans_land,ad,near,-1.971578,2.757273,out,deuce,far,-2.780085,25.339256,0.98266,down the line,In,false,20:21:28,
Opponent,4,return_plus_one,Backhand,Slice,44.516861,199,0,0,service_box,deuce,near,1.307096,11.61021,out,ad,near,-2.054847,-1.086416,0.851532,down the line,Net,false,20:21:30,
Pash Sunuwar,1,first_serve,Serve,Slice,50.86726,200,0,0,service_box,deuce,near,2.646619,6.209142,no_mans_land,deuce,far,-0.907731,23.878397,2.715088,out wide,In,false,20:21:56,
Opponent,2,return,Forehand,Topspin,33.181431,200,0,0,service_box,deuce,near,1.547722,5.648626,no_mans_land,deuce,near,3.886046,-0.057221,0.771001,cross court,Net,false,20:21:57,
Pash Sunuwar,1,first_serve,Serve,Slice,52.013657,201,0,0,service_box,deuce,far,-1.3499,11.929132,no_mans_land,ad,far,1.434079,24.100702,2.643236,down the T,Net,false,20:22:09,
Pash Sunuwar,1,second_serve,Serve,Slice,45.8904,202,0,0,service_box,ad,near,-1.632385,6.875347,no_mans_land,ad,far,0.70938,22.937279,2.484313,down the T,In,false,20:22:18,
